,round,avg_test_acc,avg_test_loss,avg_train_loss
0,0,0.21613333333333337,176.72960464159647,1.7036258169043232
1,1,0.21701666666666666,176.69125827153525,1.602886600743437
2,2,0.21748333333333333,176.65771416823068,1.5988371041319178
3,3,0.2178,176.65802081425986,1.596952285565121
4,4,0.2181,176.63794819513956,1.5957138285810402
5,5,0.21828333333333336,176.63304821650186,1.5947388856903488
6,6,0.21824999999999997,176.6166270573934,1.5940598599927525
7,7,0.23198333333333332,175.54390881458917,1.5814734101995056
8,8,0.23244999999999996,175.49822767575583,1.5771198465090963
9,9,0.23274999999999998,175.4712399840355,1.5759650461130859
