,round,avg_test_acc,avg_test_loss,avg_train_loss
0,0,0.05820000000000001,181.86410295963287,1.7103230337581723
1,1,0.28025,175.3392115434011,1.593884594563587
2,2,0.3705,165.7917419274648,1.56135711794448
3,3,0.5180833333333333,155.16534984111786,1.5198890376538736
4,4,0.7067333333333333,143.01766192913055,1.4956671912485444
5,5,0.7823500000000001,136.28177769978842,1.4904608454362889
6,6,0.8134333333333333,132.9257012406985,1.48723734985215
7,7,0.8302999999999999,131.07866887251535,1.484592229967386
8,8,0.8443833333333334,129.60866594314575,1.4829177448587239
9,9,0.8506999999999999,128.87592460711798,1.4813045617280431
