,round,avg_test_acc,avg_test_loss,avg_train_loss
0,0,0.05820000000000001,181.86410291989645,1.706951586363461
1,1,0.21446666666666667,176.08355700969696,1.757433931662443
2,2,0.29775,170.93788117170334,1.5601864878980205
3,3,0.30805,169.447749654452,1.6009129630008214
4,4,0.37005,164.46053252617517,1.5399814152941458
5,5,0.4612333333333334,158.90628019968668,1.5414610109138938
6,6,0.43743333333333334,159.65528963009515,1.5106266778959354
7,7,0.5265166666666667,153.76446296771368,1.5264563950854289
8,8,0.5423666666666667,152.21608551343283,1.5056568820012004
9,9,0.57835,149.64682207504907,1.508234994022499
