,round,avg_test_acc,avg_test_loss,avg_train_loss
0,0,0.10,2.307,1.618
1,1,0.24,2.215,1.546
2,2,0.37,2.094,1.532
3,3,0.44,2.024,1.561
4,4,0.48,1.986,1.722
5,5,0.38,2.086,1.938
6,6,0.35,2.110,1.912
7,7,0.37, 2.094,1.940
8,8,0.37,2.091,1.971
9,9,0.38,2.082,1.990
