,round,avg_test_acc,avg_test_loss,avg_train_loss
0,0,0.05820000000000001,181.86410284042358,1.7069514750594823
1,1,0.20755,177.5541401306788,2.154189730614004
2,2,0.2723666666666667,172.09910337130228,1.803290807095492
3,3,0.25395,173.92349511384964,2.056046548793573
4,4,0.2824499999999999,170.32099397977194,1.655007975482045
5,5,0.3340666666666667,167.4424507021904,1.892604859921854
6,6,0.3678166666666666,164.340785185496,1.6042736069137502
7,7,0.35743333333333344,165.44408510128656,1.8183394831391009
8,8,0.4632666666666667,157.37305657068887,1.595970997368226
9,9,0.3703666666666667,163.62570683161417,1.7205630167269372
